Concept ID,Norwegian Term,English Term,Released,VSO Applicable
1217415009,epoprostenol (som epoprostenolnatrium) pulv til inf væske 500 mikrog/hgl,Epoprostenol (as epoprostenol sodium) 500 microgram powder for solution for infusion vial,,True
1019211000202100,acetylcystein inh væske til nebulisator 200 mg/ml,Acetylcysteine 200 mg/mL solution for nebulizer,,True
5411000124106,"etanol liniment, oppl 0,7 ml/ml",Ethanol 0.7 mL/mL cutaneous solution,,True
148561000202105,ondansetron (som ondansetronhydrokloriddihydrat) mikst 800 mikrog/ml,Ondansetron (as ondansetron hydrochloride dihydrate) 800 microgram/mL oral solution,,True
783109005,orfenadrinhydroklorid tab 50 mg,Orphenadrine hydrochloride 50 mg oral tablet,,True
1068301000202103,"bariumsulfat mikst/rektalvæske 1,05 g/ml",Barium sulfate 1.05 g/mL oral or rectal suspension,,True
376988009,levotyroksinnatrium tab 75 mikrog,Levothyroxine sodium 75 microgram oral tablet,,True
1004421000202106,metamizolnatriummonohydrat tab 500 mg,Metamizole sodium monohydrate 500 mg oral tablet,,True
148701000202101,trientin (som trientindihydroklorid) kaps 167 mg,Trientine (as trientine hydrochloride) 167 mg oral capsule,,True
374369007,mitotan tab 500 mg,Mitotane 500 mg oral tablet,,True
1204234008,"povidon, jodert liniment, oppl 75 mg/ml",Povidone iodine 75 mg/mL cutaneous solution,,True
1088601000202106,dorzolamid (som dorzolamidhydroklorid)/timolol (som timololmaleat) øyedr 20 mg/ml + 5 mg/ml,Dorzolamide (as dorzolamide hydrochloride) 20 mg/mL and timolol (as timolol maleate) 5 mg/mL eye drops solution,,True
765526000,fesoterodinfumarat DEPOTtab 4 mg,Fesoterodine fumarate 4 mg prolonged-release oral tablet,,True
508651000202105,kaliumklorid sirup 75 mg/ml,Potassium chloride 75 mg/mL oral syrup,,True
786867001,mykofenolsyre (som mykofenolatnatrium) enterotab 180 mg,Mycophenolic acid (as mycophenolate sodium) 180 mg gastro-resistant oral tablet,,True
1024801000202107,klonidinhydroklorid tab 150 mikrog,Clonidine hydrochloride 150 microgram oral tablet,,True
1237158007,paracetamol inf væske 10 mg/ml,Paracetamol 10 mg/mL solution for infusion,,True
895599006,sonidegib (som sonidegibfosfat) kaps 200 mg,Sonidegib (as sonidegib phosphate) 200 mg oral capsule,,True
407012000,eplerenon tab 50 mg,Eplerenone 50 mg oral tablet,,True
783104000,"enalaprilmaleat/hydroklortiazid tab 20 mg + 12,5 mg",Enalapril maleate 20 mg and hydrochlorothiazide 12.5 mg oral tablet,,True
1042741000202109,dulaglutid inj væske 750 mikrog/penn,Dulaglutide 750 microgram solution for injection pen,,True
1004661000202103,"tyroidea-kjertel tab 32,5 mg",Thyroid gland 32.5 mg oral tablet,,False
1032391000202104,amoksicillin (som amoksicillintrihydrat) pulv til mikst 100 mg/ml,Amoxicillin (as amoxicillin trihydrate) 100 mg/mL powder for oral suspension,,True
1094621000202106,atorvastatin tab 80 mg,Atorvastatin 80 mg oral tablet,,True
703794000,pomalidomid kaps 4 mg,Pomalidomide 4 mg oral capsule,,True
148711000202104,"buprenorfin (som buprenorfinhydroklorid)/nalokson (som naloksonhydrokloriddihydrat) sublingvaltab 1,4 mg + 360 mikrog",Buprenorphine (as buprenorphine hydrochloride) 1.4 mg and naloxone (as naloxone hydrochloride dihydrate) 360 microgram sublingual tablet,,True
375380001,"warfarinnatrium tab 2,5 mg",Warfarin sodium 2.5 mg oral tablet,,True
860587009,dabigatraneteksilat (som dabigatraneteksilatmesilat) kaps 110 mg,Dabigatran etexilate (as dabigatran etexilate mesilate) 110 mg oral capsule,,True
318635007,"karvedilol tab 6,25 mg",Carvedilol 6.25 mg oral tablet,,True
1004861000202104,fusidinsyre (som fusidinsyrehemihydrat) øyedr 10 mg/g,Fusidic acid (as fusidic acid hemihydrate) 10 mg/g eye drops suspension,,True
782039007,pankuroniumbromid inj væske 2 mg/ml,Pancuronium bromide 2 mg/mL solution for injection,,True
376998003,kandesartancileksetil tab 32 mg,Candesartan cilexetil 32 mg oral tablet,,True
557601000202103,"etylmorfinhydroklorid/kodeinfosfathemihydrat sirup 1,5 mg/g + 5 mg/g",Codeine phosphate hemihydrate 5 mg/g and ethylmorphine hydrochloride 1.5 mg/g oral syrup,,True
1306698001,ezetimib/rosuvastatin (som rosuvastatinkalsium) tab 10 mg + 40 mg,Ezetimibe 10 mg and rosuvastatin (as rosuvastatin calcium) 40 mg oral tablet,,True
1119841000202107,melatonin mikst 1 mg/ml,Melatonin 1 mg/mL oral solution,,True
788092007,alpelisib tab 150 mg,Alpelisib 150 mg oral tablet,,True
367941000202104,kalsiumklorid (som kalsiumkloriddihydrat) kons til inf væske 500 mikromol/ml,Calcium chloride (as calcium chloride dihydrate) 500 umol/mL concentrate for solution for infusion,,True
1078731000202100,klorheksidindiacetat/sinkbacitracin salve 5 mg/g + 500 IE/g,Chlorhexidine diacetate 5 mg/g and zinc bacitracin 500 international unit/g cutaneous ointment,,True
547841000202104,metylprednisolon (som metylprednisolonnatriumsuksinat) pulv til inj/inf væske 40 mg/hgl,Methylprednisolone (as methylprednisolone sodium succinate) 40 mg powder for solution for infusion or injection vial,,True
765726003,klaritromycin DEPOTtab 500 mg,Clarithromycin 500 mg prolonged-release oral tablet,,True
781861001,adrenalin (som adrenalintartrat) inj væske 1 mg/ml,Adrenaline (as adrenaline acid tartrate) 1 mg/mL solution for injection,,True
319316005,lerkanidipinhydroklorid tab 10 mg,Lercanidipine hydrochloride 10 mg oral tablet,,True
1208573003,ropinirol (som ropinirolhydroklorid) tab 500 mikrog,Ropinirole (as ropinirole hydrochloride) 500 microgram oral tablet,,True
1101981000202107,metoksypolyetylenglykol-epoetin beta inj væske 120 mikrog/sprøyte,Methoxy polyethylene glycol-epoetin beta 120 microgram solution for injection syringe,,True
1029931000202109,natriumvalproat inj/inf væske 100 mg/ml,Valproate sodium 100 mg/mL solution for infusion or injection,,True
1162374009,deferasiroks tab 180 mg,Deferasirox 180 mg oral tablet,,True
416946001,duloksetin (som duloksetinhydroklorid) enterokaps 60 mg,Duloxetine (as duloxetine hydrochloride) 60 mg gastro-resistant oral capsule,,True
1197462008,adrenalin (som adrenalintartrat)/lidokainhydroklorid inj væske 5 mikrog/ml + 10 mg/ml,Adrenaline (as adrenaline acid tartrate) 5 microgram/mL and lidocaine hydrochloride 10 mg/mL solution for injection,,True
1149427008,prukaloprid (som prukalopridsuksinat) tab 1 mg,Prucalopride (as prucalopride succinate) 1 mg oral tablet,,True
1034661000202105,iksekizumab inj væske 80 mg/penn,Ixekizumab 80 mg solution for injection pen,,True
321613007,"olanzapin tab 7,5 mg",Olanzapine 7.5 mg oral tablet,,True
410861007,"entakapon/karbidopa/levodopa tab 200 mg + 12,5 mg + 50 mg",Carbidopa 12.5 mg and entacapone 200 mg and levodopa 50 mg oral tablet,,True
408060004,ezetimib tab 10 mg,Ezetimibe 10 mg oral tablet,,True
134561001,linezolid tab 600 mg,Linezolid 600 mg oral tablet,,True
840663005,lenalidomid kaps 15 mg,Lenalidomide 15 mg oral capsule,,True
410862000,entakapon/karbidopa/levodopa tab 200 mg + 25 mg + 100 mg,Carbidopa 25 mg and entacapone 200 mg and levodopa 100 mg oral tablet,,True
1003451000202102,morfinsulfatpentahydrat DEPOTtab 5 mg,Morphine sulphas pentahydrate 5 mg prolonged-release oral tablet,,True
326991007,hydroksykarbamid kaps 500 mg,Hydroxyurea 500 mg oral capsule,,True
332719006,selendisulfid sjampo 25 mg/ml,Selenium sulfide 25 mg/mL shampoo,,True
1030641000202101,atrakuriumbesilat inj/inf væske 10 mg/ml,Atracurium besylate 10 mg/mL solution for infusion or injection,,True
325427002,prednisolon tab 5 mg,Prednisolone 5 mg oral tablet,,True
329654002,ibuprofen tab 600 mg,Ibuprofen 600 mg oral tablet,,True
895674004,cannabidiol mikst 100 mg/ml,Cannabidiol 100 mg/mL oral solution,,True
407040005,atomoksetin (som atomoksetinhydroklorid) kaps 10 mg,Atomoxetine (as atomoxetine hydrochloride) 10 mg oral capsule,,True
278451000202106,bimekizumab inj væske 160 mg/penn,Bimekizumab 160 mg solution for injection pen,,True
783590009,imatinib (som imatinibmesilat) tab 400 mg,Imatinib (as imatinib mesilate) 400 mg oral tablet,,True
442402007,"amlodipin (som amlodipinbesilat)/hydroklortiazid/valsartan tab 10 mg + 12,5 mg + 160 mg",Amlodipine (as amlodipine besylate) 10 mg and hydrochlorothiazide 12.5 mg and valsartan 160 mg oral tablet,,True
348011000202108,mesalazin DEPOTtab 1 g,Mesalamine 1 g prolonged-release oral tablet,,True
447092003,dutasterid/tamsulosinhydroklorid kaps 500 mikrog + 400 mikrog,Dutasteride 500 microgram and tamsulosin hydrochloride 400 microgram oral capsule,,True
1042011000202106,koriongonadotropin pulv til inj væske 5000 IE/hgl,Choriogonadotropin 5000 international unit powder for solution for injection vial,,True
288121000202103,polikresulen vag væske 360 mg/g,Policresulen 360 mg/g vaginal solution,,True
287961000202105,acetylkolinklorid pulv og væske til intraokulær oppl 10 mg/ml,Acetylcholine chloride 10 mg/mL powder for solution for intraocular instillation,,True
1149303005,riociguat tab 500 mikrog,Riociguat 500 microgram oral tablet,,True
1287054008,omega-3-syreetylestere 90 kaps 1 g,Omega-3-acid ethyl esters 90 1 g oral capsule,,True
1090261000202109,cefalotin pulv til inj/inf væske 2 g/hgl,Cephalothin 2 g powder for solution for infusion or injection vial,,True
781967003,lidokainhydroklorid inj væske 20 mg/ml,Lidocaine hydrochloride 20 mg/mL solution for injection,,True
1043171000202109,paliperidon (som paliperidonpalmitat) DEPOTinj væske 263 mg/sprøyte,Paliperidone (as paliperidone palmitate) 263 mg prolonged-release suspension for injection syringe,,True
1003411000202101,morfinsulfatpentahydrat DEPOTtab 10 mg,Morphine sulphas pentahydrate 10 mg prolonged-release oral tablet,,True
1024991000202106,diklofenaknatrium inj/inf væske 25 mg/ml,Diclofenac sodium 25 mg/mL solution for infusion or injection,,True
198841000202103,benzylpenicillinnatrium pulv til inf væske 3 g/hgl,Penicillin G sodium 3 g powder for solution for infusion vial,,True
321618003,"olanzapin tab 2,5 mg",Olanzapine 2.5 mg oral tablet,,True
1079901000202102,cyanokobalamin/folsyre/pyridoksinhydroklorid tab 500 mikrog + 800 mikrog + 3 mg,Cyanocobalamin 500 microgram and folic acid 800 microgram and pyridoxine hydrochloride 3 mg oral tablet,,True
1017901000202104,"sølvnitrat liniment, oppl 20 mg/ml",Silver nitrate 20 mg/mL cutaneous solution,,True
1027141000202108,"bosentan (som bosentanmonohydrat) tab 62,5 mg",Bosentan (as bosentan monohydrate) 62.5 mg oral tablet,,True
1037201000202102,vigabatrin gran til mikst 500 mg/dosepose,Vigabatrin 500 mg granules for oral solution sachet,,True
1027081000202102,karbamazepin DEPOTtab 150 mg,Carbamazepine 150 mg prolonged-release oral tablet,,True
407011007,eplerenon tab 25 mg,Eplerenone 25 mg oral tablet,,True
1120631000202101,amoksicillin (som amoksicillintrihydrat) kaps 250 mg,Amoxicillin (as amoxicillin trihydrate) 250 mg oral capsule,,True
321623003,olanzapin smeltetab 10 mg,Olanzapine 10 mg orodispersible tablet,,True
1087241000202108,berberinhydroklorid kaps 500 mg,Berberine hydrochloride 500 mg oral capsule,,True
318121006,"amiloridhydroklorid/hydroklortiazid tab 2,5 mg + 25 mg",Amiloride hydrochloride 2.5 mg and hydrochlorothiazide 25 mg oral tablet,,True
387851000202106,oktreotid (som oktreotidacetat) inj væske 1 mg/ml,Octreotide (as octreotide acetate) 1 mg/mL solution for injection,,True
1025381000202106,propofol inj/inf væske 10 mg/ml,Propofol 10 mg/mL emulsion for infusion or injection,,True
1039531000202103,metadonhydroklorid mikst 140 mg/flaske,Methadone hydrochloride 140 mg oral solution bottle,,True
577681000202107,etanercept pulv til inj væske 25 mg/sprøyte,Etanercept 25 mg powder for solution for injection syringe,,True
321947008,fluvoksaminmaleat tab 100 mg,Fluvoxamine maleate 100 mg oral tablet,,True
207231000202109,semaglutid inj væske 1 mg/aktivering,Semaglutide 1 mg/actuation solution for injection,,True
1089771000202101,flunisolid nesespray 25 mikrog/aktivering,Flunisolide 25 microgram/actuation nasal solution spray,,True
1034541000202105,polidokanol inj væske 20 mg/ml,Lauromacrogol 400 20 mg/mL solution for injection,,True
1003421000202109,morfinsulfatpentahydrat DEPOTtab 100 mg,Morphine sulphas pentahydrate 100 mg prolonged-release oral tablet,,True
1015841000202101,gentamicin (som gentamicinsulfat) inf væske 3 mg/ml,Gentamicin (as gentamicin sulfate) 3 mg/mL solution for infusion,,True
1025681000202102,dekstrometorfan (som dekstrometorfanhydrobromid) tab 30 mg,Dextromethorphan (as dextromethorphan hydrobromide) 30 mg oral tablet,,True
1120651000202105,østradiol (som østradiolhemihydrat) tab 2 mg,Estradiol (as estradiol hemihydrate) 2 mg oral tablet,,True
1187471002,levokarnitin inj væske 200 mg/ml,Levocarnitine 200 mg/mL solution for injection,,True
577891000202105,tirzepatid inj væske 10 mg/aktivering,Tirzepatide 10 mg/actuation solution for injection,,True
1033181000202107,melatonin kaps 3 mg,Melatonin 3 mg oral capsule,,True
1068351000202102,salisylsyre kollodium 200 mg/g,Salicylic acid 200 mg/g cutaneous collodion,,True
407837006,memantinhydroklorid tab 10 mg,Memantine hydrochloride 10 mg oral tablet,,True
1145421000,atorvastatin (som atorvastatinkalsium) tab 40 mg,Atorvastatin (as atorvastatin calcium) 40 mg oral tablet,,True
765550003,metforminhydroklorid DEPOTtab 1 g,Metformin hydrochloride 1 g prolonged-release oral tablet,,True
1087231000202102,tafamidismeglumin kaps 61 mg,Tafamidis meglumine 61 mg oral capsule,,True
508221000202101,"avibaktam (som avibaktamnatrium)/aztreonam pulv til kons til inf væske 1,5 g/hgl + 500 mg/hgl",Avibactam (as avibactam sodium) 1.5 g and aztreonam 500 mg powder for concentrate for solution for infusion vial,,True
1120701000202100,bosutinib (som bosutinibmonohydrat) tab 500 mg,Bosutinib (as bosutinib monohydrate) 500 mg oral tablet,,True
1090231000202102,bleomycin pulv til inj/inf væske 15000 IE/hgl,Bleomycin 15000 international unit powder for solution for infusion or injection vial,,True
1020541000202102,N(2)-L-alanyl-L-glutamin kons til inf væske 200 mg/ml,N2-L-alanyl-L-glutamine 200 mg/mL concentrate for solution for infusion,,True
408051007,ramipril tab 5 mg,Ramipril 5 mg oral tablet,,True
1038051000202109,ceftobiprol (som ceftobiprolmedokaril) pulv til kons til inf væske 500 mg/hgl,Ceftobiprole (as ceftobiprole medocaril) 500 mg powder for concentrate for solution for infusion vial,,True
1088761000202103,"somatropin pulv til inj væske 1,6 mg/sprøyte",Somatropin 1.6 mg powder for solution for injection syringe,,True
1029351000202101,ropivakainhydroklorid (som ropivakainhydrokloridmonohydrat) inj væske 10 mg/ml,Ropivacaine hydrochloride (as ropivacaine hydrochloride monohydrate) 10 mg/mL solution for injection,,True
1039381000202107,metadonhydroklorid mikst 55 mg/flaske,Methadone hydrochloride 55 mg oral solution bottle,,True
1102151000202109,evolokumab inj væske 140 mg/penn,Evolocumab 140 mg solution for injection pen,,True
765608008,metylfenidathydroklorid DEPOTtab 36 mg,Methylphenidate hydrochloride 36 mg prolonged-release oral tablet,,True
327551000202104,omeprazol pulv til mikst 2 mg/ml,Omeprazole 2 mg/mL powder for oral suspension,,True
408055003,olmesartanmedoksomil tab 10 mg,Olmesartan medoxomil 10 mg oral tablet,,True
329613005,diflunisal tab 500 mg,Diflunisal 500 mg oral tablet,,True
783076000,dihydrokodeinhydrogentartrat tab 30 mg,Dihydrocodeine tartrate 30 mg oral tablet,,True
1022601000202100,alprostadil pulv til inj væske 20 mikrog/sprøyte,Alprostadil 20 microgram powder for solution for injection syringe,,True
1287182003,obetikolsyre tab 10 mg,Obeticholic acid 10 mg oral tablet,,True
318969005,irbesartan tab 150 mg,Irbesartan 150 mg oral tablet,,True
218121000202100,"indakaterol (som indakaterolacetat)/mometasonfuroat inh pulv 125 mikrog/aktivering + 62,5 mikrog/aktivering",Indacaterol (as indacaterol acetate) 125 microgram and mometasone furoate 62.5 microgram/actuation powder for inhalation in capsule,,True
1031191000202105,fentanyl (som fentanylsitrat) sublingvaltab 400 mikrog,Fentanyl (as fentanyl citrate) 400 microgram sublingual tablet,,True
374298009,levotyroksinnatrium tab 175 mikrog,Levothyroxine sodium 175 microgram oral tablet,,True
1087111000202102,dupilumab inj væske 300 mg/penn,Dupilumab 300 mg solution for injection pen,,True
395518008,efavirenz tab 600 mg,Efavirenz 600 mg oral tablet,,True
1123071000202102,naloksonhydroklorid (som naloksonhydrokloriddihydrat)/oksykodonhydroklorid DEPOTtab 20 mg + 40 mg,Naloxone hydrochloride (as naloxone hydrochloride dihydrate) 20 mg and oxycodone hydrochloride 40 mg prolonged-release oral tablet,,True
323013002,gabapentin kaps 100 mg,Gabapentin 100 mg oral capsule,,True
367801000202107,magnesium (som magnesiumsitrat) sugetab 100 mg,Magnesium (as magnesium citrate) 100 mg oromucosal lozenge,,True
347581000202109,prednisolonnatriumsuksinat pulv til inj væske 25 mg/hgl,Prednisolone sodium succinate 25 mg powder for solution for injection vial,,True
1040621000202109,koagulasjonsfaktor IX (human) pulv til inj væske 500 IE/hgl,Coagulation factor IX 500 international unit powder for solution for injection vial,,False
442789004,tolvaptan tab 15 mg,Tolvaptan 15 mg oral tablet,,True
321638002,amisulprid tab 200 mg,Amisulpride 200 mg oral tablet,,True
1118341000202109,"ledipasvir/sofosbuvir gran 33,75 mg/dosepose + 150 mg/dosepose",Ledipasvir 33.75 mg and sofosbuvir 150 mg oral granules sachet,,True
1078401000202102,"kaliumhydrogenkarbonat/kaliumsitrat DEPOTgran 1,582 g/dosepose + 847 mg/dosepose",Potassium bicarbonate 1.582 g and potassium citrate 847 mg prolonged-release oral granules sachet,,True
1035891000202102,ikatibant (som ikatibantacetat) inj væske 30 mg/sprøyte,Icatibant (as icatibant acetate) 30 mg solution for injection syringe,,True
1091731000202103,litium DEPOTtab 42 mg,Lithium 42 mg prolonged-release oral tablet,,True
376567006,perfenazin tab 8 mg,Perphenazine 8 mg oral tablet,,True
1123101000202108,betametason (som betametasonvalerat)/fusidinsyre (som fusidinsyrehemihydrat) krem 1 mg/g + 20 mg/g,Betamethasone (as betamethasone valerate) 1 mg/g and fusidic acid (as fusidic acid hemihydrate) 20 mg/g cutaneous cream,,True
527631000202107,morfinhydrokloridtrihydrat mikstur 1 mg/ml,Morphine hydrochloride trihydrate 1 mg/mL oral liquid,,True
1204358009,"adrenalin (som adrenalintartrat)/lidokainhydroklorid inj væske 12,5 mikrog/ml + 20 mg/ml",Epinephrine (as epinephrine bitartrate) 12.5 microgram/mL and lidocaine hydrochloride 20 mg/mL solution for injection,,True
218141000202109,ipratropiumbromid/ xylometazolinhydroklorid nesespray 600 mikrog/ml + 500 mikrog/ml,Ipratropium bromide 600 microgram/mL and xylometazoline hydrochloride 500 microgram/mL solution for nasal spray,,True
1230151003,alprostadil krem 3 mg/g,Alprostadil 3 mg/g cutaneous cream,,True
207321000202103,somatropin inj væske 15 mg/sylinderampulle,Somatropin 15 mg solution for injection cartridge,,True
1020401000202104,prednisolon tab 20 mg,Prednisolone 20 mg oral tablet,,True
1020981000202100,sertindol tab 12 mg,Sertindole 12 mg oral tablet,,True
409108001,rosuvastatin (som rosuvastatinkalsium) tab 5 mg,Rosuvastatin (as rosuvastatin calcium) 5 mg oral tablet,,True
765548006,doksazosin (som doksazosinmesilat) DEPOTtab 4 mg,Doxazosin (as doxazosin mesilate) 4 mg prolonged-release oral tablet,,True
318655008,"minoksidil tab 2,5 mg",Minoxidil 2.5 mg oral tablet,,True
1026981000202103,"lenalidomid kaps 7,5 mg",Lenalidomide 7.5 mg oral capsule,,True
781994004,metylprednisolonacetat inj væske 40 mg/ml,Methylprednisolone acetate 40 mg/mL suspension for injection,,True
326563008,oksybutyninhydroklorid tab 5 mg,Oxybutynin hydrochloride 5 mg oral tablet,,True
167401000202104,klorheksidinglukonat og lidokainhydrokloridmonohydrat munnspray 2 mg/ml + 500 microg/ml,Chlorhexidine gluconate 2 mg/mL and lidocaine hydrochloride monohydrate 500 microgram/mL solution for oromucosal spray,,True
323342002,akamprosatkalsium enterotab 333 mg,Acamprosate calcium 333 mg gastro-resistant oral tablet,,True
321197008,diazepam tab 5 mg,Diazepam 5 mg oral tablet,,True
1089751000202107,"timolol (som timololmaleat) øyedr 2,5 mg/ml",Timolol (as timolol maleate) 2.5 mg/mL eye drops solution,,True
1215071000202107,lonoktokog alfa pulv til inj/inf væske 250 IE/hgl,Product containing precisely lonoctocog alfa 250 international unit/1 vial powder for conventional release solution for infusion or injection,,False
1029721000202109,fenelzin tab 15 mg,Phenelzine 15 mg oral tablet,,True
1149435006,prukaloprid (som prukalopridsuksinat) tab 2 mg,Prucalopride (as prucalopride succinate) 2 mg oral tablet,,True
332454000,"podofyllotoksin liniment, oppl 5 mg/ml",Podophyllotoxin 5 mg/mL cutaneous solution,,True
324501005,isoniazid/rifampicin tab 150 mg + 300 mg,Isoniazid 150 mg and rifampin 300 mg oral tablet,,True
324411000,sulfadiazin tab 500 mg,Sulfadiazine 500 mg oral tablet,,True
1031531000202102,okskarbazepin tab modif frisetting 300 mg,Oxcarbazepine 300 mg modified-release oral tablet,,True
422330004,lenalidomid kaps 5 mg,Lenalidomide 5 mg oral capsule,,True
318590006,bisoprololfumarat tab 5 mg,Bisoprolol fumarate 5 mg oral tablet,,True
1026661000202100,kolekalsiferol kaps 800 IE,Cholecalciferol 800 international unit oral capsule,,True
374668009,progesteron kaps 100 mg,Progesterone 100 mg oral capsule,,True
327377001,"letrozol tab 2,5 mg",Letrozole 2.5 mg oral tablet,,True
1028861000202100,amitriptylin (som amitriptylinhydroklorid) tab 25 mg,Amitriptyline (as amitriptyline hydrochloride) 25 mg oral tablet,,True
319948000,kolestyramin pulv til mikst 4 g/dosepose,Colestyramine 4 g powder for oral suspension sachet,,True
517871000202101,kabazitaksel kons til inf væske 20 mg/ml,Cabazitaxel 20 mg/mL concentrate for solution for infusion,,True
517751000202102,humaninsulin inj væske 100 IE/ml,Human insulin 100 international unit/mL suspension for injection,,False
373982003,hydrokortison tab 5 mg,Hydrocortisone 5 mg oral tablet,,True
527761000202107,østradiolcipionat inj væske 5 mg/ml,Estradiol cypionate 5 mg/mL solution for injection,,True
1119881000202102,pyridoksinhydroklorid enterotab 300 mg,Pyridoxine hydrochloride 300 mg gastro-resistant oral tablet,,True
1020971000202102,retinylpalmitat kaps 15000 IE,Retinyl palmitate 15000 international unit oral capsule,,True
1019411000202101,kolesevelam (som kolesevelamhydroklorid) tab 625 mg,Colesevelam (as colesevelam hydrochloride) 625 mg oral tablet,,True
346917004,azelainsyre krem 200 mg/g,Azelaic acid 200 mg/g cutaneous cream,,True
321981002,nefazodonhydroklorid tab 200 mg,Nefazodone hydrochloride 200 mg oral tablet,,True
148131000202105,flurazepammonohydroklorid tab 30 mg,Flurazepam monohydrochloride 30 mg oral tablet,,True
1017571000202101,"betaksolol (som betaksololhydroklorid) øyedr 2,5 mg/ml",Betaxolol (as betaxolol hydrochloride) 2.5 mg/mL eye drops suspension,,True
1018211000202109,cyanokobalamin tab 1 mg,Cyanocobalamin 1 mg oral tablet,,True
1034631000202103,flukloksacillin (som flukloksacillinmagnesiumoktahydrat) gran til mikst 50 mg/ml,Floxacillin (as flucloxacillin magnesium octahydrate) 50 mg/mL granules for oral suspension,,True
703959000,avanafil tab 100 mg,Avanafil 100 mg oral tablet,,True
337811000202103,klonidinhydroklorid mikst 20 mikrog/ml,Clonidine hydrochloride 20 microgram/mL oral suspension,,True
376688006,deksametason tab 4 mg,Dexamethasone 4 mg oral tablet,,True
703793006,pomalidomid kaps 3 mg,Pomalidomide 3 mg oral capsule,,True
1025911000202101,alprostadil pulv til inj væske 10 mikrog/sprøyte,Alprostadil 10 microgram powder for solution for injection syringe,,True
784754005,guanfacin (som guanfacinhydroklorid) DEPOTtab 1 mg,Guanfacine (as guanfacine hydrochloride) 1 mg prolonged-release oral tablet,,True
298251000202103,askiminib (som askiminibhydroklorid) tab 40 mg,Asciminib (as asciminib hydrochloride) 40 mg oral tablet,,True
407858000,tadalafil tab 20 mg,Tadalafil 20 mg oral tablet,,True
376701008,metforminhydroklorid tab 1 g,Metformin hydrochloride 1 g oral tablet,,True
325505008,østradiolvalerat tab 1 mg,Estradiol valerate 1 mg oral tablet,,True
329888005,sulindak tab 200 mg,Sulindac 200 mg oral tablet,,True
447181002,buprenorfin DEPOTplaster 20 mikrog/t,Buprenorphine 20 microgram/hour prolonged-release transdermal patch,,True
1303113002,metforminhydroklorid/vildagliptin tab 850 mg + 50 mg,Metformin hydrochloride 850 mg and vildagliptin 50 mg oral tablet,,True
1022471000202108,levokabastin (som levokabastinhydroklorid) øyedr 500 mikrog/ml,Levocabastine (as levocabastine hydrochloride) 500 microgram/mL eye drops suspension,,True
1028911000202106,oksykodonhydroklorid inj/inf væske 10 mg/ml,Oxycodone hydrochloride 10 mg/mL solution for infusion or injection,,True
1016021000202107,nikotin munnspray 1 mg/aktivering,Nicotine 1 mg/actuation oromucosal spray solution,,True
127631000202100,teofyllinetylendiamin inj væske 24 mg/ml,Aminophylline 24 mg/mL solution for injection,,True
1033971000202107,omalizumab inj væske 150 mg/sprøyte,Omalizumab 150 mg solution for injection syringe,,True
319781007,acetylsalisylsyre enterotab 75 mg,Aspirin 75 mg gastro-resistant oral tablet,,True
1034141000202100,indakaterol (som indakaterolmaleat) inh pulv 300 mikrog,Indacaterol (as indacaterol maleate) 300 microgram powder for inhalation in capsule,,True
1027021000202103,acetylsalisylsyre disperg tab 75 mg,Aspirin 75 mg dispersible oral tablet,,True
