ID,Varenavn,Produsent,ATC Kode
ID_00A3B32B-9729-457B-8F12-09282760940D,"Meropenem Fresenius Kabi pulv til inj/inf væske, oppl 1 g",Fresenius Kabi Norge AS,J01DH02
ID_00AD9A80-8004-442B-A749-0E46696FAFC2,Metformin Orifarm tab 500 mg,Orifarm Generics (3),A10BA02
ID_00D00502-F4BD-45D8-AF1C-203E46F5E3EB,"Mucosta ophtalmic UD øyedr, susp 2 %",Otsuka Pharma Scandinavia AB,S01XA
ID_00FBF542-A872-482B-94C7-C36EEDCAD4FC,"Morfin SA inj, oppl 0,2 mg/ml",Sykehusapotekene HF,N02AA01
ID_0108FFF0-66C2-4673-837B-5E43A618D971,Orap tab 1 mg,Ukjent (2),N05AG02
ID_01226ED9-863D-4DD8-87ED-408736081BA7,Soluble Prednisolone amdipharm oppl tab 5 mg,Amdipharm UK Limited,H02AB06
ID_012C7C0D-77BC-4F3D-BEBE-663743B03C1F,Amitriptylin Abcur tab 50 mg,Abcur AB,N06AA09
ID_012D5B48-EBE2-4398-82D8-051F1745155D,Olmesartan medoxomil Krka tab 10 mg,"KRKA, d.d. Novo mesto",C09CA08
ID_0130CE90-D5C0-41BE-9F28-B04932B6069F,"Benlysta pulv til kons til inf væske, oppl 400 mg",GlaxoSmithKline (Ireland) Limited,L04AG04
ID_01354D34-F726-4E6A-B24F-0C597C076F03,N-Acetyl Cysteine biocare kaps 500 mg,BioCare,R05CB01
ID_0137287C-8138-4FA8-A227-9BF4758EB111,"Velbe pulv til inj væske, oppl 10 mg",STADA Nordic Aps,L01CA01
ID_01424D98-F55E-4352-A722-EC4CC8DE8D07,"Marcain-Adrenalin inj, oppl 5 mg/ml/5 mikrog/ml",Aspen Pharma Trading Limited,N01BB51
ID_0156B495-E4A4-405F-A04E-42B876A03EB2,Ondansetron Bluefish tab 8 mg,Bluefish Pharmaceuticals AB,A04AA01
ID_015AD732-8CBD-4DF8-8883-6C6E2FFE3668,Lidokain SA kons til inf oppl 200 mg/ml,"Sykehusapoteket Oslo, Rikshospitalet",N01BB02
ID_0164ACC5-806E-4792-81FF-219D623B3B93,"Livopan medisinsk gass, komprimert 50 % v/v/50 % v/v",AGA AB,N01AX63
ID_0169B6A2-8308-4BF4-83F6-AF56CAD3DB1B,Elocta pulv+væske til inj oppl 500 IU,Swedish Orphan Biovitrum International AB,B02BD02
ID_0191C7C8-E463-4997-B209-B55EBB80649A,Pyridoksin NAF tab 40 mg,Kragerø Tablettproduksjon AS,A11HA02
ID_0192426B-9969-4C97-8CB3-3862D0C35F81,Zytram XL depottab 150 mg,Purdue Pharma LP,N02AX02
ID_0194B779-21BB-4BF6-AD23-95181AE8FEF3,"Efflumidex øyedr, susp 1 mg/ml",Abbvie AS,S01BA07
ID_01958A88-D57E-4902-90D2-25B768C1FBDF,Kohle-Compretten tab 250 mg,Merck,A07BA01
ID_01A39B65-092E-47ED-9915-C1873AEB9D42,Metadon Nordic Drugs mikst oppl 160 mg/flaske,Nordic Drugs AB,N07BC02
ID_01A839A6-71EB-40C1-A31C-024EDB4D57BC,"Strefen munnspray oppl med honning/sitronsmak 8,75 mg/dose",Reckitt Benckiser Healthcare (Nordics) A/S,R02AX01
ID_01AA5920-4AB2-4F94-83FF-14044A6EB9C9,Dicloxacillin Alternova kaps 500 mg,Alternova A/S,J01CF01
ID_01ABA6A3-A38E-40E6-8D9C-2B503020079D,Fucidine tab 250 mg,LEO,J01XC01
ID_01B327A7-BC6B-489A-B235-329ACEB77BC4,Zebinix tab 200 mg,"BIAL - Portela & Companhia, S.A",N03AF04
ID_01B5C693-5945-4DE7-81E1-610B4C2D8B68,"Nordimet inj, oppl 22,5 mg/penn",Nordic Group BV,L04AX03
ID_01B6C1C0-83AE-41C7-8933-A924E3FCDA19,Buscopan tab 10 mg,Sanofi,A03BB01
ID_01C49FC2-F2B2-4305-97A5-3BB3A5A6BF18,Alyostal negativ kontroll oppl til prikktest,Stallergenes,V04CL
ID_01C7542C-88E9-4000-9961-690C63CFEF99,Xevudy kons til inf oppl 500 mg/8 ml,GlaxoSmithKline Trading Services Limited,J06BD05
ID_01D59A53-BB0B-4BEB-BAD1-9032EC3114F2,Ongentys kaps 50 mg,"BIAL - Portela & Companhia, S.A",N04BX04
ID_01D77772-9770-4E69-920A-91A2FD87C340,"Ampicillin STADA pulv til inj væske, oppl 1 g",STADA Nordic Aps,J01CA01
ID_01D8D711-13A9-4D0B-AA6C-0C1CB5C1241E,Koffein/difenhydramin SA stikkpille 100 mg/100 mg,Sykehusapotekene HF,R06AA52
ID_01DC5BAA-2169-4CDA-A961-1952C2EF717F,Requip Depot depottab 8 mg,GlaxoSmithKline AS,N04BC04
ID_01E05722-FDAA-49EB-9B44-3AE0ACC788B3,Asacol enterotab 800 mg,Orifarm AS,A07EC02
ID_01F71C23-57D6-4362-ADCB-79EF24B30A3C,Lenalidomid Zentiva kaps 20 mg,Zentiva k.s.,L04AX04
ID_021553F0-E5FE-4DB6-830C-BD153230B5BE,"Xofigo inj, oppl 1100 kBq/ml",Bayer AG,V10XX03
ID_02243EEB-B4FF-4082-B4E1-478B83982486,Amlodipine/Valsartan/Hydrochlorothiazide Viatris tab 5 mg/160 mg/25 mg,Viatris Limited,C09DX01
ID_02271CC4-637F-4237-B71C-4DFB73CED8BD,"Buvidal depotinj væske, oppl 64 mg/sprøyte",Camurus AB,N07BC01
ID_0232E3C2-9F4F-4B69-8BD8-E001320348ED,"Thiamine Sterop   inj, oppl 125 mg/ml",Laboratoires Sterop NV,A11DA01
ID_02392F9D-26AC-46BA-A5C0-58C82DDEFE10,"Alutard SQ Bigift start inj væske, susp 10000 SQ-E/ml",ALK-Abelló AS,V01AA07
ID_023D3420-4789-4496-91BD-35E1D523F2FE,Xanor Depot depottab 3 mg,Upjohn EESV,N05BA12
ID_024112E3-D706-4D22-9EF6-A4FEACA83AF0,"Nycodent frisk pust sugetab med frisk mintsmak 5 mg/0,1 mg",Orifarm Healthcare AS,
ID_024BD305-A6EC-4773-A689-3C742F12DD78,Abilify tab 10 mg,Orifarm AS,N05AX12
ID_0250E7BF-3E04-4D1F-8FB8-7D6F2DDF83B3,Amlodipine/Valsartan/Hydrochlorothiazide Viatris tab 10 mg/320 mg/25 mg,Viatris Limited,C09DX01
ID_0259C444-7C0E-4121-9E26-4E3AC12B9EBE,"Olanzapine Teva tab 2,5 mg",Teva B.V.,N05AH03
ID_0267805F-E0C6-444A-903B-85A43D45CE13,Apovit B-combin stærk tab,Orifarm Healthcare A/S,A11EA
ID_02765233-C8E3-4569-AD0C-3AE884E55485,Pinex Forte brusetab 500 mg/30 mg,Teva B.V.,N02AJ06
ID_027FC434-2795-486E-8880-B006C9FDE79D,"Omnipaque inj, oppl 300 mg I/ml",GE Healthcare AS,V08AB02
ID_028B2472-5180-418A-A384-893C3134C106,"Pemetrexed Accord pulv til kons til inf væske, oppl 100 mg",Accord Healthcare S.L.U.,L01BA04
ID_02A7ADD2-081C-4641-BD60-2D5CE6101EC5,Inovelon tab 100 mg,Eisai GmbH,N03AF03
ID_02A92E4C-601E-436B-8275-8C865CBDE5BA,"Aridol inh pulv, kaps 40 mg",Pharmaxis Europe Limited,V04CX04
ID_02AEE76C-7402-4890-95D0-382F29D6671F,Bactroban krem 2 %,GlaxoSmithKline,D06AX09
ID_02B9B96F-52AC-47C3-AC63-B2EB3244C836,"Alutard SQ Timotei inj væske, susp 100 SQ-E/ml",ALK-Abelló AS,V01AA02
ID_02BEDA94-8114-413E-9AEA-3951EB7ED7FA,Sertraline amarox tab 25 mg,Amarox,N06AB06
ID_02BFA002-4585-4761-9A13-DF3FD4153D57,"Picibanil pulv+væske til inj susp 0,1 mg",Chugai Pharmaceutical,L01
ID_02C74D1F-28EC-45EA-9F01-CD0265566738,Tapentadol Medical Valley depottab 50 mg,Medical Valley Invest AB,N02AX06
ID_02D27AAB-C0C6-499E-A8D9-645DBA5BC012,"Oprymea depottab 0,26 mg","KRKA, d.d. Novo mesto",N04BC05
ID_02D7E04F-DB4E-4056-BC7F-B049C843D8E0,Novalgin tab 500 mg,A. Nattermann & Cie. GmbH,N02BB02
ID_02D82027-BCDC-4558-82EF-9E33BD286FB2,Cerdelga kaps 84 mg,Sanofi B.V.,A16AX10
ID_02E6DC35-9125-4BC6-B966-0300E54CCC76,"Cloxacillin Stragen pulv til inj/inf væske, oppl 1 g",Stragen Nordic A/S,J01CF02
ID_02E94D6E-241B-4AD3-8389-E7A73D287B77,Liothyronin tab 20 mikrog,Orifarm Healthcare A/S,H03AA02
ID_02E95AD6-C895-4A87-A240-BFE2A7CB0C98,Samin tab 625 mg,Evolan Pharma AB,M01AX05
ID_02EBD29D-0219-445E-9456-5337982BB1BC,"Staloral bjørk startpakning sublingvalspray, oppl 10 RI/ml",Stallergenes,V01AA05
ID_02F05E56-EEBE-4C3E-945F-37B6E7017116,Stivarga tab 40 mg,Bayer AG,L01EX05
ID_030F13CB-A0DA-469D-B980-22B29AAEAB11,"Cosmofer inj/inf, oppl 50 mg/ml",Pharmacosmos,B03AC
ID_0319AFA0-CC9B-4AFA-8AB4-81530CE00E80,Naltrexone POA Pharma tab 50 mg,POA Pharma Scandinavia AB,N07BB04
ID_031C8E36-154C-4E85-8C22-3E26C60A9E82,Zyrtec tab 10 mg,UCB Nordic AS,R06AE07
ID_0320776F-4A8F-4BA3-A026-81B12F8963A2,"Marcain adrenalin inj, oppl 5 mg/ml/5 mikrog/ml",Aspen,N01BB51
ID_0324180C-659F-476F-9B5E-52E5E2501E30,Docetaxel Accord kons til inf oppl 80 mg/4 ml,Accord Healthcare S.L.U.,L01CD02
ID_033B017F-EA8F-4557-A4D2-FA935F58D573,"Combivent UDV inh væske, oppl",Boehringer Ingelheim Animal Health Denmark A/S,R03AL02
ID_033B529F-D67A-4432-A982-78DC3C9056A6,Ibuprofen Zentiva tab 600 mg,Zentiva k.s.,M01AE01
ID_033BAFA1-C23E-463A-BAF9-89A38F958554,Nystatin stada tab 500000 IE,Stada,A07AA02
ID_034405FA-FF71-4751-86F1-883F7D2E60FD,Gevita vitamin D tyggetab 10 mikrog,Orkla Health Norge AS,
ID_035BFB56-426C-47AF-A847-C8055DA21D69,"Lodoz tab 5 mg/6,25 mg",Merck (2),C07BB07
ID_03600BC3-DE6C-4FAD-A352-75484632B178,"Celestan Depot inj væske, susp 5,7 mg/ml",Organon Healthcare GmbH,H02AB01
ID_0367BE09-5C62-424E-8392-76C29E76A276,Ceftriaxon Navamedic pulv til inf væske oppl 2 g,Navamedic ASA,J01DD04
ID_036B103E-A6C5-4A50-B87B-5D2DFE9CB257,Tadalafil Sandoz tab 10 mg,Sandoz - København,G04BE08
ID_0373490B-96D9-4E8E-BEA4-8BF5E3E3AFE4,Sandimmun Neoral kaps 100 mg,Novartis Norge (2),L04AD01
ID_037F7C1A-8FAF-4C53-B926-8CA546711A69,Mirtazapin Bluefish smeltetab 45 mg,Bluefish Pharmaceuticals AB,N06AX11
ID_03888FDE-729C-4653-B4D7-169E59BD6A7D,Nyvigan kombipakning salve 100000 IE/g,Avia Pharma AB,G01AA01
ID_038EE0DB-A95D-4FF4-B62C-9EDD53623FBF,Amiloride padagis tab 5 mg,Padagis,C03DB01
ID_038FFAA2-2F47-4DB8-981E-64AEFFC628A6,Lidbree intrauteringel 42 mg/ml,Gedeon Richter Plc,N01BB02
ID_03A7FF16-6F81-4639-9DC2-A62C3BAFB03E,Colrefuz tab 500 mikrog,Teva B.V.,M04AC01
ID_03AACE29-9D24-48B0-B4E3-8210559287EA,Testavan transdermalgel 20 mg/g,The Simple Pharma Company Limited,G03BA03
ID_03C8BDFA-A78B-4799-8002-18246A375DF5,"Adenosin Life Medical inj/inf, oppl 5 mg/ml",Evolan Pharma AB,C01EB10
ID_03C8EDE1-4CEC-4A7E-B987-1AB819F3E178,Etoposid Fresenius Kabi kons til inf oppl 20 mg/ml,Fresenius Kabi Norge AS,L01CB01
ID_03CE3667-F824-4126-9F59-6ED2120A0EC8,Inderal tab 40 mg,AstraZeneca (2),C07AA05
ID_03EE5E10-EAD3-4E8A-9F07-791C11430F17,"Alimemazin evolan dråper, oppl 40 mg/ml",Evolan Pharma AB,R06AD01
ID_03F36E8C-33CF-42CB-917F-E8681B77FD87,"Clariscan inj, oppl 0,5 mmol/ml",GE HEALTHCARE AS,V08CA02
ID_04037C59-66E6-4A89-B2D3-9D00EF1BC654,Fungoral krem 20 mg/g,Karo Pharma AB (1),D01AC08
ID_0418D6F9-A51B-457A-84A7-3224306F412E,"Adtralza inj, oppl 150 mg/sprøyte",LEO PHARMA A/S (Danmark),D11AH07
ID_04194C87-3AE6-403C-ABC9-9DE645C3D8E9,"Nutrineal PD4 med aminosyrer 1,1% peritonealdialysevæske",Vantive AB,B05DB
ID_0429B860-DDD4-4608-B325-2EE06DEC411E,"Rabipur pulv+væske til inj oppl > 2,5 IE/dose",Bavarian Nordic A/S,J07BG01
ID_04392647-CBBF-46EF-A267-1402C91AEC0A,"Cantharone liniment, oppl 0,7 %",Dormer,D11AF
ID_043BD9D8-C343-4A49-B194-CB97C45AB2DA,Depakote enterotab 125 mg,Abbott,N03AG01
ID_044533F3-D6C9-4F60-81BF-60701883D1D3,"Alutard SQ Hundehår inj væske, susp 100000 SQ-E/ml",ALK-Abelló,V01AA11
ID_044FCCBE-5A02-4B3B-8AD8-05CE4E82CA7B,"Bromheksin Norfri mikst 0,8 mg/ml",Evolan Pharma AB,R05CB02
ID_045439EE-4680-42B2-8D71-152323737E03,"Bimzelx inj, oppl 160 mg/sprøyte",UCB Pharma S.A. (2),L04AC21
ID_0455BC2E-2BC4-4C31-A918-72340038979F,"CellCept pulv til kons til inf væske, oppl 500 mg",Roche Registration GmbH,L04AA06
ID_0465B748-7A40-4AE5-BEB3-12333E14431E,"Vistabel pulv til inj væske, oppl",AbbVie AS,M03AX01
ID_046C5F3D-C183-4F45-977A-920E3F1CA380,Evrenzo tab 50 mg,Astellas Pharma Europe B.V. - Leiden,B03XA05
ID_047F7F2D-E08E-4955-8A48-32A502B20256,"Humalog inj, oppl 100 E/ml",Eli Lilly Nederland BV,A10AB04
ID_0484AB7C-9748-49A0-A5C6-1F97A94B8A7F,Spironolactone Orion tab 50 mg,Orion Corporation - Espoo,C03DA01
ID_048C2ADE-396D-426A-AB27-49704EB0C1CD,Penomax tab 400 mg,"Orion Corporation Orion Pharma, Espoo",J01CA08
ID_0499BD1B-9643-4B54-ABB1-AC21FD199F81,Lacrisert øyelamell 5 mg,Ukjent (2),S01XA20
ID_049BB41D-31E1-43AD-8FC1-89C4F1C9DFB2,Hypotron tab 5 mg,Brancaster Pharma Ireland Ltd.,C01CA17
ID_04A1602B-C05A-4887-8464-151E76C9680C,Ebixa tab 10 mg,H. Lundbeck A/S,N06DX01
ID_04A752E5-5D23-4A05-86C4-463529518A2C,Medrol unimedic tab 100 mg,Pfizer,H02AB04
ID_04B064AC-DAAC-47D9-9E3D-63B54C8123A5,Cometriq kaps 80 mg,Ipsen Pharma,L01EX07
ID_04B25B3E-0E72-49ED-A4DF-817223F3FC69,Dovprela tab 200 mg,Mylan,J04AK08
ID_04B89F63-D716-4577-A114-727F4DDBC686,"Lamisil liniment, oppl 1 % w/w",Karo Healthcare AB,D01AE15
ID_04BCAFB9-E06A-4974-B59B-26B3BAF16039,Desirett tab 75 mikrog,Exeltis Healthcare S.L. (1),G03AC09
ID_04C3E206-72FE-49C7-8B4E-36FC8750198D,"Accofil inj/inf, oppl 48 mill E/sprøyte",Accord Healthcare S.L.U.,L03AA02
ID_04C6F060-27CC-4853-B6E1-268922D96BA9,Docetaxel Accord kons til inf oppl 20 mg/ml,Accord Healthcare S.L.U.,L01CD02
ID_04CB83A6-7532-400B-9312-593BECB8156F,Zyx sugetab med sitronsmak 3 mg,Viatris AS,R02AX03
ID_04D18DFC-1ACB-4257-80A7-A2347AD15A6B,Hjertemagnyl tab 75 mg,Nycomed,B01AC06
ID_04DAB56D-1C34-45E3-8368-02D679AB3F29,"Syntocinon nesespray oppl 6,7 mikrog/dose",Viatris,H01BB02
ID_04DC34EE-DCDA-4245-A657-14A1AFCCDEF9,Thiola tab 100 mg,Desitin,G04BX16
ID_04F229B9-9BFB-4CE6-89D3-91DCA09EF6EA,Xaluprine mikst susp 20 mg/ml,Nova Laboratories Ireland Limited,L01BB02
ID_04F37B21-5E5E-42DB-A377-6337BB33C875,"Palmeux depotinj væske, susp 150 mg/sprøyte",Amdipharm Ltd,N05AX13
ID_04F44639-A9E7-44E5-B092-9B6D0BC0F8AA,Carisoprodol oxford tab 350 mg,Oxford Pharmaceuticals,M03BA02
ID_0503918C-58F4-42AD-9B07-35E49105FDA7,Delstrigo tab 100 mg/300 mg/245 mg,Merck Sharp & Dohme Ltd (1),J05AR24
ID_0508200B-3F47-4867-8576-5060197CCAE7,Nepresol nordic prime pulv+væske til inj oppl 25 mg,Teofarma,C02DB01
ID_050C6CBE-139F-41C8-A40A-FEAEBB8A7782,Quetiapine Medical Valley depottab 400 mg,Medical Valley Invest AB,N05AH04
ID_05109A3E-688C-42BF-8AB2-C4CC3C2496BD,Reltebon Depot depottab 5 mg,Teva B.V.,N02AA05
ID_05181753-F3EA-4DA7-9274-B7A4C0A991DF,QuilliChew ER depottyggetab 40 mg,Tris Pharma,N06BA04
ID_0530F285-4789-4614-BF27-FF524F2D10C5,Nycoplus D3-vitamin sitron brusetab 40 mikrog,Orifarm Healthcare,
ID_0539B06E-47A1-448F-8D81-70F234621F4C,Floradix formula jernekstrakt mikst,Salus Haus,
ID_053A8C1A-71C2-457E-BC53-F13EFC951CEE,Irbesartan Actavis tab 300 mg,Actavis Group PTC ehf,C09CA04
ID_0554B63F-7065-43EB-9F61-396D4D96265C,Alcos-Anal rektalsalve 100 mg,Viatris AS,C05AX03
ID_05579BD6-83D7-4C87-8F55-F4DBD71564D4,Varilrix pulv+væske til inj oppl,GlaxoSmithKline AS,J07BK01
ID_0557E5B2-0003-4545-8EBF-9CEE3D36A079,Refixia pulv+væske til inj oppl 2000 IE,Novo Nordisk A/S,B02BD04
ID_05592B77-8D83-4391-8D1D-324CE9E7B936,"Ondansetron crescent mikst oppl 0,8 mg/ml",Crescent pharma,A04AA01
ID_05607826-7657-4A73-9FE1-ADBD2F097532,"Zeposia kaps 0,23 mg",Bristol-Myers Squibb Pharma EEIG (1),L04AE02
ID_05696DBE-6A7C-4BA4-84CF-E37DFA827481,Daivonex krem 50 mikrog/g,LEO Pharma,D05AX02
ID_0570F99B-33E5-4821-B2F8-AB59C07F6969,Lenalidomide Sandoz kaps 10 mg,Sandoz - København,L04AX04
ID_0573B14B-BAB8-4151-92BE-8C456DAD3E43,"Propolipid inj/inf, emul 10 mg/ml",Fresenius Kabi Norge AS - Halden,N01AX10
ID_057716BE-17C8-4A29-9C73-38E8392BFD97,Rytmonorm tab 150 mg,Mylan,C01BC03
ID_057B580F-7699-4C73-8128-FF0729EB1524,"Clonidine HCl actavis depottab 0,1 mg",Actavis,C02AC01
ID_058A9DFC-2D12-4934-940A-40DC4F263A96,"Oculac øyedr, oppl 50 mg/ml",Laboratoires Théa S.A.S,S01XA20
ID_058BCE02-7EDF-44A0-BD6E-6E8051FF160D,"Sancuso depotplaster 3,1 mg/24 timer",Grünenthal GmbH,A04AA02
ID_0594FBEC-C10E-443D-B689-F276F9F6E1BF,"Taflotan øyedr, oppl 15 mikrog/ml",Santen Oy,S01EE05
ID_05961F2F-24CC-451D-9264-D3C7EE990C4D,Alyostal 5-gress oppl til prikktest,Stallergenes,V04CL
ID_05995F99-F3F7-4365-9CB4-B0E470CF27AA,"Xylocain inj, oppl 10 mg/ml",,N01BB02
ID_059B6AA9-FC05-429F-B111-F9C8AA40DE7F,"Alutard SQ Timotei inj væske, susp 100000 SQ-E/ml",ALK-Abelló AS,V01AA02
ID_05A61008-4FBB-4967-AE17-D7967315058C,"Detrusitol SR depotkaps, hard 4 mg",Upjohn EESV,G04BD07
ID_05A7C060-32F0-4C1F-856A-9058AD0F57D6,"Abilify Maintena pulv til depotinj væske, susp 400 mg/sprøyte",Otsuka Pharmaceutical Netherlands B.V.,N05AX12
ID_05AD530A-65BC-490A-8847-C707E08788F1,Trihexyphenidyl rosemont sirup 5 mg/5 ml,Rosemont Pharmaceuticals,N04AA01
ID_05ADD144-EEDE-418D-B4D7-8B46A109DED7,OxyContin depottab 10 mg,Mundipharma AS,N02AA05
ID_05B89655-F27F-45AD-BF7C-F8FC73A1DD97,"Salbutamol arrow inh væske, oppl 2,5 mg/2,5 ml",Arrow,R03AC02
ID_05C30888-7B13-4FA3-88AF-91060D081367,Lamotrigin 1a pharma tab uten smak 200 mg,1 A Pharma,N03AX09
ID_05DB6AAB-A9C3-4BCB-9A5D-C761F287E5FE,Dextroamphetamine Mixed Salts lannett tab,Lannett,N06BA01
ID_05E9A09A-61EF-4974-8F97-99C463CEB00B,Prednisolone tab 20 mg,Actavis,H02AB06
ID_05EC1920-CB46-4E80-9B87-20E0003FC36D,Solu-Cortef pulv+væske til inj oppl 250 mg,Pfizer AS,H02AB09
ID_05EFA247-91F6-4F64-AD09-E29CEE85F0F9,"Alfentanil Kalceks inj/inf, oppl 0,5 mg/ml",AS Kalceks,N01AH02
ID_05F65FEC-9F62-4E08-A585-5C37B5F15E6A,"Nimbex inj, oppl 2 mg/ml",Aspen Pharma Trading Limited,M03AC11
ID_05F8BCA9-6BE7-4FE8-9CB1-E0EF6FC49180,Nature's sunshine betakaroten m/sink kaps 3 mg/15 mg,Nature's Sunshine,
ID_05FE792F-050A-4248-9372-B6363FFFADAF,Temozolomide SUN kaps 180 mg,Sun Pharmaceutical - Nederland,L01AX03
ID_060126A4-6588-467A-9CF5-2FCEB25FB8EF,Midazolam-ratiopharm mikst oppl 2 mg/ml,Ratiopharm,N05CD08
ID_06018884-11F4-4F5B-8EC1-DC28484174D9,Bactrim tab 400 mg/80 mg,Eumedica Pharmaceuticals GmbH,J01EE01
ID_060D6616-9941-4281-9781-58A4932877F3,"ProHance inj, oppl 279,3 mg/ml",Bracco International B.V.,V08CA04
ID_060E81B5-D06B-4404-8021-15D18DD13B2A,Levopidon mikst oppl 45 mg,dne pharma,N07BC05
ID_060F3DDD-345C-4EA9-BF37-8E80C53FBC7F,Melatonin AGB tab 2 mg,AGB-Pharma AB,N05CH01
ID_061BF594-378A-4E17-93FA-D6A310D34508,"Aurum D10 3T/Stibium D8 2T weleda inj, oppl",Weleda,C
ID_0623BF2E-7898-4B34-9688-F2E5703D243F,"Ultiva pulv til inj/inf væske, oppl 5 mg",Aspen Pharma Trading Limited,N01AH06
ID_0633E310-C1DD-4A0D-B389-52FE8B9BAC93,Ceftriaxon Fresenius Kabi pulv til inf væske oppl 2 g,Fresenius Kabi Norge AS,J01DD04
ID_065926B4-8FD6-4D54-84E3-32294CD264C3,"Curadona Scrub liniment, oppl 7,5 % w/v",LAINCO,D08AG02
ID_065A4A9B-3A00-47F8-9FE0-AD9BB3559E6B,Imurel tab 50 mg,Aspen Pharma Trading Limited,L04AX01
ID_06762D66-7AA1-4983-A156-92E780D2F1C5,Cipramil tab 20 mg,2care4 ApS,N06AB04
ID_067BB7D7-AB48-44D3-AFAC-62A7843C9F28,Sitagliptin/Metformin Sandoz tab 50 mg/850 mg,Sandoz - København,A10BD07
ID_067DA596-E2FD-4848-B178-A3E7E30FE280,"Pramipexole Orion tab 0,088 mg","Orion Corporation Orion Pharma, Espoo",N04BC05
ID_069DEB0F-14F9-46D6-89C3-7493F8401E50,Zyx sugetab med mintsmak 3 mg,Viatris AS,R02AX03
ID_06A1E3DC-79B8-4492-8241-7F40EED0CA2A,Zebinix tab 200 mg,2care4 ApS,N03AF04
ID_06A6F349-48CA-4E81-A0BC-261DC9107FB1,Lisinopril ratiopharm tab 20 mg,ratiopharm GmbH,C09AA03
ID_06AB5773-E2F8-4821-8699-BB474287DF04,Nordaid D-spray 10 oral vitamin D munnspray 10 mikrog/dose,Nordaid Ltd,
ID_06ACB3A7-C89D-44F2-AD69-A51AE4548465,Intuniv depottab 3 mg,Takeda Pharmaceuticals International AG Ireland Branch,C02AC02
ID_06B317FF-451E-4B7E-9037-58E3BE868511,"Teva-Clonidine tab 0,025 mg",Teva,N02CX02
ID_06B713B6-56CB-421F-A29F-F3BE785343C3,Vermox mikst susp 20 mg/ml,McNeil Sweden AB,P02CA01
ID_06BC9061-B9EF-4ADE-A0EF-10FC5278DB5B,Pepcidduo tyggetab med spearmintsmak 10 mg/165 mg/800 mg,McNeil Sweden AB,A02BA53
ID_06CF3720-7BB5-4C84-B3F2-14F2877D8AC4,Nicorette Fruitmint medisinsk tyggegummi 2 mg,McNeil Sweden AB,N07BA01
ID_06D5EEDC-D11B-4831-BE11-ADE765E3A001,"Zyclara krem 3,75 %",Viatris Healthcare Limited,D06BB10
ID_06D7C628-A565-4392-B14B-671CFBFC8556,"Translarna granulat til mikst, susp 250 mg",PTC Therapeutics International Limited,M09AX03
ID_06D9005E-E9AA-446E-A42D-65AED4701C0F,"Calciumchlorid kons til inf oppl 0,5 mmol/ml",Serumwerk Bernburg,B05XA07
ID_06E4A1EB-A42B-4C55-BCB6-0A2DEB984A3E,"Restasis øyedr, emul 0,05 %",Allergan,S01XA18
ID_06E7CCC2-BD38-4467-8E64-6A73D646ECE9,"Kapvay depottab 0,1 mg",Concord Pharmaceutical,C02AC01
